ID,NAME,DOB,TRAINER,GENDER,SIRE,DAM,OWNER
5004,King Of Milan,30th April 2010,D Donovan,Gelding,Milan,Opera Mask,Mr Andy Cosias
5002,Ballyegan,16th April 2005,R H Buckler,Gelding,Saddlers' Hall,Knapping Princess,Mr R H Buckler
5005,Welsh Designe,13th March 2008,S-J Davies,Gelding,Midnight Legend,Barton Dante,Mr I Mercer
5006,Red Whisper,21st April 2004,B R Summers,Gelding,Midnight Legend,Secret Whisper,Mrs Gill Summers
5008,Acting Lass,15th April 2011,H Fry,Gelding,King's Theatre,Darrens Lass,Nigel &amp; Barbara Collison
5007,Sussex Road,1st April 2010,A Sadik,Gelding,Mahler,Rose Island,Mr A Sadik
5003,Bandol,3rd March 2008,S G West,Gelding,Zagreb,Formal Affair,Mr Paul Hothersall
5001,Gustav,6th May 2010,A Irvine,Gelding,Mahler,Pakaradyssa,The Plum Merchants
5011,Diamond Benny,2nd June 2012,R Stephens,Gelding,Milan,Ben's Pride,Paul Duffy Diamond Partnership
5014,Gibbes Bay,9th February 2012,Mrs Caroline Bailey,Gelding,Al Namix,Nouvelle Donne,Mrs M E Moody
5016,One Brilliant Day,23rd April 2012,N P Mulholland,Gelding,Tikkanen,Kay Theatre,Mike Chris Stef Carl David &amp; Hugh
5015,Monsieur Darsi,3rd May 2010,P J Hobbs,Gelding,Darsi,Durgams Delight,Sally White &amp; Karyn Heard
5013,Finian's Oscar,10th April 2012,C L Tizzard,Gelding,Oscar,Trinity Alley,Ann &amp; Alan Potts Limited
5012,Diamond Fort,14th April 2012,F O'Brien,Gelding,Gamut,Ellie Forte,Mr D Shorey
5018,Vinnie Lewis,5th April 2011,C C Bealby,Gelding,Vinnie Roe,Ballyann Lewis,Mr Mark Chatterton
5017,Russian Service,23rd April 2012,S Drinkwater,Gelding,Robin Des Champs,Just Kate,Stephen Mattick And Mr D P Drinkwater
5024,Shoofly Milly,12th February 2009,J Scott,Mare,Milan,Jacksister,Gale Force One
5021,Black Narcissus,17th April 2009,Alexandra Dunn,Mare,Westerner,Arcanum,Team Dunn
5022,Hoo Bally Diva,28th March 2011,R H Buckler,Mare,Scorpion,Dr Sandra,Golden Cap
5025,Deckers Delight,28th March 2011,N J Hawke,Mare,Tobougg,Oleana,Mr J A Vowles &amp; Partners
5026,Sahara Haze,20th May 2009,P C Dando,Mare,Rainbow High,Gypsy Haze,Mr P Dando
5028,Chef D'Oeuvre,15th February 2011,S England,Gelding,Martaline,Kostroma,The Sandmoor Partnership 2
5023,Coco Shambhala,16th May 2008,O Sherwood,Mare,Indian Danehill,Kohinor,British Racing Club
5027,Young Lou,12th April 2009,R Dickin,Mare,Kadastrof,Wanna Shout,E R C Beech &amp; B Wilkinson
5031,Morito Du Berlais,27th March 2009,Miss Lucinda V Russell,Gelding,Turgeon,Chica Du Berlais,British Racing Club
5034,Speredek,4th April 2011,N J Hawke,Gelding,Kapgarde,Sendamagic,Nigel Hawke Racing Club &amp; Associate
5036,Uncle Jimmy,28th April 2007,Miss B Childs,Gelding,Alderbrook,Carrabawn,Miss Beth Childs
5032,Mystical Knight,28th April 2009,A J Honeyball,Gelding,Kayf Tara,Dark Diva,Geegeez Co Uk Pa
5038,Oscarteea,15th March 2009,P Bowen,Gelding,Oscar,Miss Arteea,Steve &amp; Jackie Fleetham
5035,Swincombe Scorchio,12th June 2010,P Gundry,Gelding,Scorpion,Lady Felix,Holcombe Hopefuls
5033,One Day Like This,28th May 2010,Tim Vaughan,Gelding,Robin Des Champs,Glebe Dream,Mr J H Frost
5037,Here's Herbie,3rd May 2008,Mrs S Gardner,Gelding,Classic Cliche,Tyre Hill Lilly,Mr P A Tylor &amp; Mr D V Gardner
5046,Deadly Approach,31st January 2011,S-J Davies,Gelding,New Approach,Speirbhean,Quadriga Racing
5042,Matchaway,26th April 2009,Kerry Lee,Gelding,Milan,Hatch Away,Mr &amp; Mrs C R Elliott &amp; Mr Will Roseff
5045,Stamp Your Feet,11th January 2012,E Bolger,Gelding,Galileo,Nausicaa,John P McManus
5048,Aces Over Eights,18th March 2009,Kerry Lee,Mare,Old Vic,Conjure Up,Sam Thorp &amp; R L Baker
5041,Volt Face,27th March 2009,P R Webber,Gelding,Kapgarde,Jourenuit,Cropredy Lawn Racing
5044,Centurius,16th March 2010,Miss V Williams,Gelding,New Approach,Questina,Venetia Williams Racehorse Syndicate Iii
5047,Grams And Ounces,27th January 2007,G Harris,Gelding,Royal Applause,Ashdown Princess,Grace Harris Racing
5043,The Mad Well,18th February 2009,K Bishop,Gelding,Milan,Silverfortprincess,Cau Partnership
5009,Some Invitation,6th March 2011,Mrs S Stilgoe,Gelding,Presenting,Bolly,Mrs S J Stilgoe
5052,Texas Forever,3rd April 2009,K C Bailey,Gelding,Heron Island,Gravinis,Mrs Ic Sellars &amp; Major &amp; Mrs P Arkwright
5055,Bestwork,18th February 2011,C E Longsdon,Gelding,Network,Harmony,Mr Robert Aplin
5056,Brise Coeur,8th April 2011,Nick Williams,Gelding,Daramsar,Rose Bombon,Mrs Jane Williams
5058,Hot Pepper,9th April 2008,C J Down,Gelding,Tikkanen,Copper Valley,Mrs Hazel Leeves
5051,Mount Russell,20th May 2010,Henry Oliver,Gelding,Indian River,Norwich Breeze,Mrs Heather Oliver
5010,Cona River,5th March 2010,Jonjo O'Neill,Gelding,Robin Des Champs,Raishah,Mr R A Bartlett
5019,Western Climate,16th May 2009,Henry Oliver,Gelding,Westerner,Jo Peeks,Mr Dan Lloyd
5057,Galactic Power,30th April 2010,R Dickin,Gelding,Gamut,Celtic Peace,Robin Dickin Racing Club
5066,Jubilympics,28th March 2012,Miss E C Lavelle,Mare,Kapgarde,Pepite De Soleil,Hoe Racing
5065,Joli Visage,28th March 2011,Henry Oliver,Mare,Dr Massini,Focosa,Miss June Frankham
5062,Civitesses,3rd April 2012,B Barr,Mare,Prince Kirk,Glenn Rose,Mr G J Singh &amp; Mr Dil Singh Rathore
5061,Avon Conquest,11th March 2012,J W Mullins,Mare,Avonbridge,Another Conquest,Mr F G Matthews
5067,Midnight Charm,21st April 2012,T Symonds,Filly,Midnight Legend,Cool Spice,Mrs Patricia Holtorp
5076,Solveig's Song,23rd March 2012,S Woodman,Mare,Norse Dancer,Ivory Lace,Sally Woodman D Mortimer
5075,Wellingtonbridge,2nd May 2012,W Greatrex,Mare,Scorpion,Isabello,Lamsam Partnership
5029,Dueling Banjos,24th April 2010,K C Bailey,Gelding,Proclamation,Kayf Lady,Mr J Perriss
5020,Miss Maiden Over,17th March 2012,C Gordon,Mare,Carlo Bank,Rock Garden,Chris Gordon Racing Club
5068,Molly Carew,7th April 2012,N P Mulholland,Mare,Midnight Legend,Moyliscar,Mrs Sarah Keys
5072,Sheelbewhatsheelbe,29th April 2010,D Skelton,Mare,Oscar,Cheerymount,Rio Gold Racing Club Ltd
5071,Ruby Russet,17th April 2012,C L Tizzard,Mare,Apple Tree,Fair Coppelia,Mrs G C Pritchard
5077,Red Cossack,22nd February 2011,D K Ivory,Gelding,Rebellion,Locata,Mrs Gwen Thomas
5086,Estibdaad,9th April 2010,P Butler,Gelding,Haatef,Star Of Siligo,Miss M Bryant
5085,Fastnet Blast,27th April 2013,E Walker,Gelding,Fastnet Rock,Bright Bank,O T I Racing &amp; Partner
5078,Dream Ruler,31st March 2011,A Bailey,Gelding,Holy Roman Emperor,Whatcameoverme,Ab Racing Limited
5030,Finnegan's Garden,2nd April 2009,A Irvine,Gelding,Definite Article,Tri Folene,Mr K Corke
5039,The Gipper,12th March 2010,Evan Williams,Gelding,King's Theatre,Merrill Gaye,Pos Partnership
5087,Runaiocht,7th March 2010,B Forsey,Gelding,Teofilo,Julie Girl,Mrs C Leigh-Turner
5096,Flying Bear,19th April 2011,J Gask,Gelding,Kodiac,Marinebird,Crowd Walsh &amp; Knight
5082,Loving Your Work,29th January 2011,Sean Conway,Gelding,Royal Applause,Time Crystal,Mr Sean Conway
5095,Calypso Choir,22nd February 2013,S Kirk,Filly,Bahamian Bounty,Heavenly Song,Mr J C Smith
5040,St Saviour,25th January 2012,P J Hobbs,Gelding,Danehill Dancer,Titivation,Highclere Thoroughbred Racing-st Savio
5088,Tommys Geal,26th February 2012,M Madgwick,Mare,Halling,Steel Free,Recycled Products Limited
5049,Guanciale,16th May 2007,D Burchell,Gelding,Exit To Nowhere,Thenford Lass,Mr Dai Burchell
