ID,NAME,DOB,TRAINER,GENDER,SIRE,DAM,OWNER
0075028,Tubular Bells (USA),13th July 2021,H A Pantall,Filly,-,-,-
0075026,Korovos (FR),13th July 2021,Mlle H Mennessier,Gelding,-,-,-
0075022,Barouk (FR),13th July 2021,J M Beguigne,Mare,-,-,-
0075021,Our Apolonia (IRE),13th July 2021,A Berry,Filly,-,-,-
0075024,Elbrus (USA),13th July 2021,Boutin (s),Mare,-,-,-
0075023,Turjuman (USA),13th July 2021,S G West,Gelding,-,-,-
0075029,Royale Again (FR),13th July 2021,D De Waele,Filly,-,-,-
0075037,Lady Luiz (FR),13th July 2021,D Jehl,Filly,-,-,-
0075043,Imaam,13th July 2021,J L Dunlop,Colt,-,-,-
0075039,Chocolicious (IRE),13th July 2021,B Smart,Filly,-,-,-
0075027,Takizada (IRE),13th July 2021,J Gask,Filly,-,-,-
0075041,Brad's Luck (IRE),13th July 2021,M Blanshard,Gelding,-,-,-
0075036,Vertueux (FR),13th July 2021,A W Carroll,Gelding,-,-,-
0075038,Arabian Flame (IRE),13th July 2021,S Fahey,Gelding,-,-,-
0075044,Itlaaq,25th March 2006,M W Easterby,Gelding,Alhaarth,Hathrah,Mr M W Easterby
0075054,Minenotyours (IRE),13th July 2021,D E Cantillon,Gelding,-,-,-
0075042,Doctor Crane (USA),13th July 2021,D Nicholls,Gelding,-,-,-
0075058,Howard,13th July 2021,J L Dunlop,Colt,-,-,-
0075052,Unawatuna,13th July 2021,Mrs K Walton,Mare,-,-,-
0075056,Are Can (USA),13th July 2021,J S Wainwright,Colt,-,-,-
0075053,Sponge,13th July 2021,Norma Twomey,Gelding,-,-,-
0075057,Dazinski,13th July 2021,Henry Oliver,Gelding,-,-,-
0075051,Kritzia,13th July 2021,Sir H R A Cecil,Filly,-,-,-
0075069,Tara Two Hills,13th July 2021,A J Honeyball,Filly,-,-,-
0075059,Ocean's Minstrel,13th July 2021,J Ryan,Gelding,-,-,-
0075066,Queen of Thebes (IRE),13th July 2021,S Kirk,Filly,-,-,-
0075068,Forge Valley,25th April 2004,Miss G Walton,Gelding,Bollin William,Scalby Clipper,Mr James Latham
0075030,Austria (GER),13th July 2021,N souchon,Filly,-,-,-
0075025,Taverny,13th July 2021,S Wattel,Gelding,-,-,-
0075033,Indian Daffodil (IRE),13th July 2021,S Wattel,Colt,-,-,-
0075031,Source De Vie (FR),13th July 2021,D Sepulchre,Filly,-,-,-
0075067,Baltic Pathfinder (IRE),13th July 2021,Martin Smith,Gelding,-,-,-
0075032,In Chambers,13th July 2021,M Delzangles,Gelding,-,-,-
0075035,Le Choriste (FR),13th July 2021,C Plisson,Gelding,-,-,-
0075040,Acclaim To Fame (IRE),13th July 2021,D W Whillans,Gelding,-,-,-
0075045,Makhaaleb (IRE),13th July 2021,P Stafford,Gelding,-,-,-
0075048,Stirling Castle,13th July 2021,<a href="/racing/profiles/trainer/undefined">,Colt,-,-,-
0075047,Ruud Revenge (USA),13th July 2021,G E Burton,Gelding,-,-,-
0075046,Royal Defence (IRE),13th July 2021,R Ford,Gelding,-,-,-
0075034,Singapore Tramp (FR),13th July 2021,P Cottin,Gelding,-,-,-
0075050,Can Can Dancer,13th July 2021,C Smith,Mare,-,-,-
0075055,Ziggy Lee,13th July 2021,P Hedger,Gelding,-,-,-
0075063,Colourful Move,13th July 2021,P G Murphy,Horse,-,-,-
0075049,Zacinto,13th July 2021,Sir Michael Stoute,Horse,-,-,-
0075060,Worth A King's,13th July 2021,P A Kirby,Gelding,-,-,-
0075103,Man Of Iron (USA),13th July 2021,L M Cumani,Horse,-,-,-
0075062,Silver Print (USA),13th July 2021,W R Swinburn,Gelding,-,-,-
0075061,Gearbox (IRE),13th July 2021,D Thompson,Gelding,-,-,-
0075065,Starburst,13th July 2021,B G Powell,Mare,-,-,-
0075064,Manchestermaverick (USA),13th July 2021,Dr J R J Naylor,Gelding,-,-,-
0075070,Termon Boy,13th July 2021,P W Hiatt,Gelding,-,-,-
0075118,Shadows' Whispers (IRE),13th July 2021,J G Burns,Filly,-,-,-
0075133,Yelena Garde (FR),13th July 2021,Mlle S Sine,Filly,-,-,-
0075099,Force Of Habit,13th July 2021,Miss J E Foster,Gelding,-,-,-
0075098,Cruciform (IRE),13th July 2021,D Nicholls,Gelding,-,-,-
0075097,Born To Be King,2nd March 2016,Francine Villeneuve,Gelding,Head Chopper,Born To Be Queen,John Scott
0075101,Liebermann (GER),13th July 2021,Mme J Bidgood,Gelding,-,-,-
0075113,Lulu's Flight (IRE),13th July 2021,J P Broderick,Filly,-,-,-
0075112,Intimate Secret (IRE),13th July 2021,D K Weld,Filly,-,-,-
0075116,Polly Ella (IRE),13th July 2021,H Rogers,Mare,-,-,-
0075114,Marina Of Venice (IRE),13th July 2021,J S Bolger,Filly,-,-,-
