Horse_id,Date,Pos,Ran,BHA,Type,Course,Distance,Going,Class,Starting Price
0075026, 19/06/12, 5,19, -, FLAT, Chantilly, 1m 1f 207y, Soft, -, 20/1
0075021, 28/10/09, 8,8, -, HURDLE, Haydock Park, 2m 0f 110y, Good, Good to Firm in places, 4, 80/1
0075026, 18/04/12,-,-, -, FLAT, Chantilly, 1m 4f 203y, Standard, -, 25/1
0075026, 08/12/10, 2,16, -, FLAT, Deauville, 1m 3f 204y, Standard, -,-
0075021, 01/09/09, 13,14, 43, FLAT, Ripon, 1m 1f 170y, Good, 5, 125/1
0075026, 31/10/10,-,-, -, FLAT, Saint-Cloud, 1m 2f 96y, Soft, -, 25/1
0075021, 24/08/09, 8,10, 43, FLAT, Hamilton Park, 1m 0f 65y, Heavy, Soft in places, 6, 50/1
0075026, 08/08/10,-,-, -, FLAT, Deauville, 1m 1f 97y, Good to Soft, -, 33/1
0075021, 03/08/09, 4,5, 45, FLAT, Carlisle, 0m 7f 200y, Good, Good to Soft in places, 6, 50/1
0075026, 14/07/10,-,-, -, FLAT, Longchamp, 1m 1f 0y, Good to Soft, -, 25/1
0075021, 18/07/09, 8,15, 48, FLAT, Ripon, 0m 6f 0y, Soft, Heavy in places, 5, 20/1
0075026, 03/07/08, 1,12, -, FLAT, Maisons-Laffitte, 1m 2f 110y, Soft, -, 10/1
0075021, 19/06/09, 10,10, 51, FLAT, Musselburgh, 0m 7f 30y, Good to Firm, 6, 100/1
0075021, 22/05/09, 8,14, 47, FLAT, Pontefract, 0m 6f 0y, Good, 5, 100/1
0075024, 04/12/08,-,-, -, FLAT, Deauville, 1m 1f 0y, Standard, -, 11/1
0075021, 18/10/08, 9,9, 51, FLAT, Catterick, 0m 7f 0y, Good to Soft, 4, 25/1
0075024, 11/07/08, 3,8, -, FLAT, Deauville, 1m 2f 0y, Soft, -, 6/1
0075021, 13/09/08, 6,6, 53, FLAT, Chester, 0m 7f 2y, Good to Soft, Soft in places, 3, 25/1
0075024, 24/06/08, 2,14, -, FLAT, Longchamp, 1m 1f 165y, Good, -, 10/1
0075021, 31/08/08, 8,10, -, FLAT, Musselburgh, 0m 7f 30y, Good, Good to Firm in places, 6, 9/1
0075021, 16/08/08, 2,11, -, FLAT, Ripon, 0m 6f 0y, Good to Soft, 4, 80/1
0075021, 27/06/08, 5,5, -, FLAT, Chester, 0m 7f 2y, Good, Good to Soft in places, 5, 28/1
0075028, 26/10/08,-,-, -, FLAT, Longchamp, 1m 0f 208y, Good to Soft, -,-
0075028, 24/06/08,-,-, -, FLAT, Longchamp, 1m 1f 165y, Good, -, 16/1
0075026, 24/06/08,-,-, -, FLAT, Longchamp, 1m 1f 165y, Good, -, 16/1
0075023, 02/07/14, 9,9, 45, FLAT, Catterick, 1m 3f 214y, Good to Firm, Firm in places (Watered), 6, 40/1
0075023, 21/06/14, 12,12, 45, FLAT, Redcar, 1m 6f 19y, Good to Firm (Watered), 6, 66/1
0075023, 20/05/14, 9,9, 47, FLAT, Newcastle, 2m 0f 19y, Good, 5, 80/1
0075023, 27/05/13, 7,11, 48, FLAT, Redcar, 1m 6f 19y, Good to Firm, Good in places, 6, 66/1
0075023, 20/05/13, 5,7, 49, FLAT, Southwell, 1m 6f 0y, Standard, 6, 33/1
0075023, 13/05/13, 5,10, 50, FLAT, Wolverhampton, 1m 4f 50y, Standard, 6, 8/1
0075023, 10/05/13, 11,11, 50, FLAT, Ripon, 2m 0f 0y, Good, 5, 40/1
0075023, 24/04/13, 9,14, 50, FLAT, Catterick, 1m 3f 214y, Good to Firm, Good in places, 5, 33/1
0075023, 01/04/13, 6,9, 51, FLAT, Redcar, 2m 0f 4y, Good to Soft, Soft in places, 6, 22/1
0075023, 19/03/13, 6,12, 52, FLAT, Wolverhampton, 2m 0f 119y, Standard, 6, 14/1
